agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,d2v1v1,Smartphone,OLED Display Module,0.95,"Strong consensus between both agents with high confidence, essential primary component for smartphone display.",Glass,0.95,"Glass provides the rigid substrate and optical clarity essential for OLED structural support, universally used in rigid OLED displays, hence very high confidence.",700800,China,metric tons,0.0,63.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d2v1v1,Smartphone,OLED Display Module,0.95,"Strong consensus between both agents with high confidence, essential primary component for smartphone display.",Glass,0.95,"Glass provides the rigid substrate and optical clarity essential for OLED structural support, universally used in rigid OLED displays, hence very high confidence.",700800,United States,metric tons,0.0,12.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d2v1v1,Smartphone,OLED Display Module,0.95,"Strong consensus between both agents with high confidence, essential primary component for smartphone display.",Glass,0.95,"Glass provides the rigid substrate and optical clarity essential for OLED structural support, universally used in rigid OLED displays, hence very high confidence.",700800,Germany,metric tons,0.0,7.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d2v1v1,Smartphone,OLED Display Module,0.95,"Strong consensus between both agents with high confidence, essential primary component for smartphone display.",Glass,0.95,"Glass provides the rigid substrate and optical clarity essential for OLED structural support, universally used in rigid OLED displays, hence very high confidence.",700800,India,metric tons,0.0,6.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d2v1v1,Smartphone,OLED Display Module,0.95,"Strong consensus between both agents with high confidence, essential primary component for smartphone display.",Glass,0.95,"Glass provides the rigid substrate and optical clarity essential for OLED structural support, universally used in rigid OLED displays, hence very high confidence.",700800,Japan,metric tons,0.0,5.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d2v1v1,Smartphone,OLED Display Module,0.95,"Strong consensus between both agents with high confidence, essential primary component for smartphone display.",Indium,0.9,"Indium is a key element in indium tin oxide, the standard transparent conductive coating in OLED displays, with minimal alternatives presently.",811299,CHINA,METRIC TONS,650.0,65.66,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Smartphone,OLED Display Module,0.95,"Strong consensus between both agents with high confidence, essential primary component for smartphone display.",Indium,0.9,"Indium is a key element in indium tin oxide, the standard transparent conductive coating in OLED displays, with minimal alternatives presently.",811299,"KOREA, REPUBLIC OF",METRIC TONS,200.0,20.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Smartphone,OLED Display Module,0.95,"Strong consensus between both agents with high confidence, essential primary component for smartphone display.",Indium,0.9,"Indium is a key element in indium tin oxide, the standard transparent conductive coating in OLED displays, with minimal alternatives presently.",811299,JAPAN,METRIC TONS,64.0,6.46,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Smartphone,OLED Display Module,0.95,"Strong consensus between both agents with high confidence, essential primary component for smartphone display.",Indium,0.9,"Indium is a key element in indium tin oxide, the standard transparent conductive coating in OLED displays, with minimal alternatives presently.",811299,CANADA,METRIC TONS,37.0,3.74,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Smartphone,OLED Display Module,0.95,"Strong consensus between both agents with high confidence, essential primary component for smartphone display.",Indium,0.9,"Indium is a key element in indium tin oxide, the standard transparent conductive coating in OLED displays, with minimal alternatives presently.",811299,BELGIUM,METRIC TONS,18.0,1.82,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Smartphone,OLED Display Module,0.95,"Strong consensus between both agents with high confidence, essential primary component for smartphone display.",Acrylic,0.7,"Acrylic polymers are commonly used in lens layers, encapsulants, and protective coatings in display modules; multiple polymer alternatives are possible.",390690,China,metric tons,0.0,55.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Acrylic
1,d2v1v1,Smartphone,OLED Display Module,0.95,"Strong consensus between both agents with high confidence, essential primary component for smartphone display.",Acrylic,0.7,"Acrylic polymers are commonly used in lens layers, encapsulants, and protective coatings in display modules; multiple polymer alternatives are possible.",390690,United States,metric tons,0.0,15.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Acrylic
