technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
Smartphone,touch screen display,0.98,"While this proposal was not universally supported, its strong similarity to the 'Display' component (supported by two agents with high confidence) and the fact that most mobile phones use touch screens justifies a higher degree of assurance.",Glass,0.95,Round 2 refinement with peer support: 2,,China,metric tons,1501192666.6666667,40.87,0.867,Leading in glass production with comprehensive industry data and multiple manufacturing companies.
Smartphone,touch screen display,0.98,"While this proposal was not universally supported, its strong similarity to the 'Display' component (supported by two agents with high confidence) and the fact that most mobile phones use touch screens justifies a higher degree of assurance.",Glass,0.95,Round 2 refinement with peer support: 2,,United States,metric tons,416854000.0,7.9,0.827,Second largest producer with significant glass manufacturing infrastructure.
Smartphone,touch screen display,0.98,"While this proposal was not universally supported, its strong similarity to the 'Display' component (supported by two agents with high confidence) and the fact that most mobile phones use touch screens justifies a higher degree of assurance.",Glass,0.95,Round 2 refinement with peer support: 2,,Japan,metric tons,333429666.6666667,5.5,0.873,Multi-agent debate consensus
Smartphone,touch screen display,0.98,"While this proposal was not universally supported, its strong similarity to the 'Display' component (supported by two agents with high confidence) and the fact that most mobile phones use touch screens justifies a higher degree of assurance.",Glass,0.95,Round 2 refinement with peer support: 2,,Germany,metric tons,250129333.33333334,5.07,0.767,Germany is a leader in precision glass production and automotive industries.
Smartphone,touch screen display,0.98,"While this proposal was not universally supported, its strong similarity to the 'Display' component (supported by two agents with high confidence) and the fact that most mobile phones use touch screens justifies a higher degree of assurance.",Glass,0.95,Round 2 refinement with peer support: 2,,Italy,metric tons,166819166.66666666,4.63,0.833,"Italy is famous for its glass art and design, though much of this production might be classified as specialized rather than industrial."
Smartphone,touch screen display,0.98,"While this proposal was not universally supported, its strong similarity to the 'Display' component (supported by two agents with high confidence) and the fact that most mobile phones use touch screens justifies a higher degree of assurance.",Indium tin oxide (ITO),0.85,Round 3 refinement with peer support: 1,,Japan,metric tons,29633.333333333332,42.56,0.84,"Japan is a major producer with significant presence in the flat panel display market; data from Japan's Ministry of Economy, Trade and Industry and industry reports."
Smartphone,touch screen display,0.98,"While this proposal was not universally supported, its strong similarity to the 'Display' component (supported by two agents with high confidence) and the fact that most mobile phones use touch screens justifies a higher degree of assurance.",Indium tin oxide (ITO),0.85,Round 3 refinement with peer support: 1,,South Korea,metric tons,18046.666666666668,24.29,0.833,High demand for ITO in displays and solar cells; data from South Korean industry associations and reports.
Smartphone,touch screen display,0.98,"While this proposal was not universally supported, its strong similarity to the 'Display' component (supported by two agents with high confidence) and the fact that most mobile phones use touch screens justifies a higher degree of assurance.",Indium tin oxide (ITO),0.85,Round 3 refinement with peer support: 1,,China,metric tons,10316.666666666666,12.22,0.767,Rising production due to increasing demand in Asia; estimates from China's National Bureau of Statistics.
Smartphone,touch screen display,0.98,"While this proposal was not universally supported, its strong similarity to the 'Display' component (supported by two agents with high confidence) and the fact that most mobile phones use touch screens justifies a higher degree of assurance.",Indium tin oxide (ITO),0.85,Round 3 refinement with peer support: 1,,United States,metric tons,7486.666666666667,7.17,0.8,Multi-agent debate consensus
Smartphone,touch screen display,0.98,"While this proposal was not universally supported, its strong similarity to the 'Display' component (supported by two agents with high confidence) and the fact that most mobile phones use touch screens justifies a higher degree of assurance.",Indium tin oxide (ITO),0.85,Round 3 refinement with peer support: 1,,Taiwan,metric tons,5051.666666666667,5.04,0.75,Multi-agent debate consensus
