technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Glass,0.95,"Essential substrate material providing structural support and optical clarity for OLED displays, universally used in rigid smartphone displays.",700800,China,metric tons,154933333.33333334,41.67,0.84,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Glass,0.95,"Essential substrate material providing structural support and optical clarity for OLED displays, universally used in rigid smartphone displays.",700800,United States,metric tons,118866666.66666667,19.67,0.853,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Glass,0.95,"Essential substrate material providing structural support and optical clarity for OLED displays, universally used in rigid smartphone displays.",700800,India,metric tons,51666666.666666664,12.33,0.893,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Glass,0.95,"Essential substrate material providing structural support and optical clarity for OLED displays, universally used in rigid smartphone displays.",700800,Germany,metric tons,20900000.0,5.67,0.82,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Glass,0.95,"Essential substrate material providing structural support and optical clarity for OLED displays, universally used in rigid smartphone displays.",700800,Japan,metric tons,40350000.0,5.83,0.76,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Indium,0.9,"Key component of ITO (indium tin oxide) transparent conductor for touch sensing and electrode layers, industry standard in OLED touchscreens.",811299,CHINA,METRIC TONS,650.0,65.66,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Indium,0.9,"Key component of ITO (indium tin oxide) transparent conductor for touch sensing and electrode layers, industry standard in OLED touchscreens.",811299,"KOREA, REPUBLIC OF",METRIC TONS,200.0,20.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Indium,0.9,"Key component of ITO (indium tin oxide) transparent conductor for touch sensing and electrode layers, industry standard in OLED touchscreens.",811299,JAPAN,METRIC TONS,64.0,6.46,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Indium,0.9,"Key component of ITO (indium tin oxide) transparent conductor for touch sensing and electrode layers, industry standard in OLED touchscreens.",811299,CANADA,METRIC TONS,37.0,3.74,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Indium,0.9,"Key component of ITO (indium tin oxide) transparent conductor for touch sensing and electrode layers, industry standard in OLED touchscreens.",811299,BELGIUM,METRIC TONS,18.0,1.82,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Silver,0.75,"Used in conductive traces and electrode patterns for touch sensing, common material though alternatives like copper exist.",710610,MEXICO,METRIC TONS,6400.0,24.62,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Silver,0.75,"Used in conductive traces and electrode patterns for touch sensing, common material though alternatives like copper exist.",710610,CHINA,METRIC TONS,3400.0,13.08,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Silver,0.75,"Used in conductive traces and electrode patterns for touch sensing, common material though alternatives like copper exist.",710610,PERU,METRIC TONS,3100.0,11.92,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Silver,0.75,"Used in conductive traces and electrode patterns for touch sensing, common material though alternatives like copper exist.",710610,OTHER,METRIC TONS,3000.0,11.54,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Silver,0.75,"Used in conductive traces and electrode patterns for touch sensing, common material though alternatives like copper exist.",710610,CHILE,METRIC TONS,1400.0,5.38,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Aluminum,0.7,"Used in cathode electrodes and conductive layers, standard material but other conductors can substitute in some designs.",280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Aluminum,0.7,"Used in cathode electrodes and conductive layers, standard material but other conductors can substitute in some designs.",280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Aluminum,0.7,"Used in cathode electrodes and conductive layers, standard material but other conductors can substitute in some designs.",280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Display Module (OLED touchscreen),0.95,"Essential user interface component, universally present as a separate procured assembly from specialized display manufacturers like Samsung Display or BOE",Aluminum,0.7,"Used in cathode electrodes and conductive layers, standard material but other conductors can substitute in some designs.",280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
