technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning,dependency_type,extraction_provenance
Smartphone,OLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Indium,0.95,Round 2 refinement with peer support: 2,811299.0,CHINA,METRIC TONS,650.0,65.66,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,OLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Indium,0.95,Round 2 refinement with peer support: 2,811299.0,"KOREA, REPUBLIC OF",METRIC TONS,200.0,20.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,OLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Indium,0.95,Round 2 refinement with peer support: 2,811299.0,JAPAN,METRIC TONS,64.0,6.46,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,OLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Indium,0.95,Round 2 refinement with peer support: 2,811299.0,CANADA,METRIC TONS,37.0,3.74,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,OLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Indium,0.95,Round 2 refinement with peer support: 2,811299.0,BELGIUM,METRIC TONS,18.0,1.82,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,OLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Glass,0.8,Round 2 refinement with peer support: 1,700800.0,China,metric tons,43666690.0,50.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass,constituent,
Smartphone,OLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Glass,0.8,Round 2 refinement with peer support: 1,700800.0,United States,metric tons,9866669.766666668,9.33,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass,constituent,
Smartphone,OLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Glass,0.8,Round 2 refinement with peer support: 1,700800.0,India,metric tons,8040002.333333333,7.33,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass,constituent,
Smartphone,OLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Glass,0.8,Round 2 refinement with peer support: 1,700800.0,Russia,metric tons,6066668.233333333,5.33,0.783,LLM fallback cache (previously computed) - no USGS data available for Glass,constituent,
Smartphone,OLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Glass,0.8,Round 2 refinement with peer support: 1,700800.0,Germany,metric tons,5920001.166666667,5.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Lithium,0.95,Round 2 refinement with peer support: 2,280520.0,AUSTRALIA,METRIC TONS,86000.0,47.78,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Lithium,0.95,Round 2 refinement with peer support: 2,280520.0,CHILE,METRIC TONS,44000.0,24.44,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Lithium,0.95,Round 2 refinement with peer support: 2,280520.0,CHINA,METRIC TONS,33000.0,18.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Lithium,0.95,Round 2 refinement with peer support: 2,280520.0,ARGENTINA,METRIC TONS,9600.0,5.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
