agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Stainless steel (SS 304/316),0.98,Primary construction material for bioreactor vessels due to corrosion resistance and mechanical strength; industry standard stainless steel grades 304 and 316 are universally used.,722000,Nigeria,metric tons,0.0,18.0,0.92,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Stainless steel (SS 304/316),0.98,Primary construction material for bioreactor vessels due to corrosion resistance and mechanical strength; industry standard stainless steel grades 304 and 316 are universally used.,722000,Russia,metric tons,0.0,15.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Stainless steel (SS 304/316),0.98,Primary construction material for bioreactor vessels due to corrosion resistance and mechanical strength; industry standard stainless steel grades 304 and 316 are universally used.,722000,India,metric tons,0.0,10.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Stainless steel (SS 304/316),0.98,Primary construction material for bioreactor vessels due to corrosion resistance and mechanical strength; industry standard stainless steel grades 304 and 316 are universally used.,722000,Australia,metric tons,0.0,13.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Stainless steel (SS 304/316),0.98,Primary construction material for bioreactor vessels due to corrosion resistance and mechanical strength; industry standard stainless steel grades 304 and 316 are universally used.,722000,Indonesia,metric tons,0.0,10.0,0.87,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Silicon,0.65,Used in seals and gaskets as silicone materials often contain silicon; moderately confident as alternatives exist but silicon-based materials are common.,280469,CHINA,THOUSAND METRIC TONS,3600.0,40.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Silicon,0.65,Used in seals and gaskets as silicone materials often contain silicon; moderately confident as alternatives exist but silicon-based materials are common.,280469,RUSSIA,THOUSAND METRIC TONS,570.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Silicon,0.65,Used in seals and gaskets as silicone materials often contain silicon; moderately confident as alternatives exist but silicon-based materials are common.,280469,BRAZIL,THOUSAND METRIC TONS,190.0,2.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Silicon,0.65,Used in seals and gaskets as silicone materials often contain silicon; moderately confident as alternatives exist but silicon-based materials are common.,280469,NORWAY,THOUSAND METRIC TONS,200.0,2.22,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Silicon,0.65,Used in seals and gaskets as silicone materials often contain silicon; moderately confident as alternatives exist but silicon-based materials are common.,280469,OTHER,THOUSAND METRIC TONS,100.0,1.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Glass,0.55,Sometimes used for sight windows or sampling ports; not structural but important for visual inspection; alternatives possible but glass is common.,700800,China,metric tons,0.0,63.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Glass,0.55,Sometimes used for sight windows or sampling ports; not structural but important for visual inspection; alternatives possible but glass is common.,700800,United States,metric tons,0.0,12.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Glass,0.55,Sometimes used for sight windows or sampling ports; not structural but important for visual inspection; alternatives possible but glass is common.,700800,Germany,metric tons,0.0,7.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Glass,0.55,Sometimes used for sight windows or sampling ports; not structural but important for visual inspection; alternatives possible but glass is common.,700800,India,metric tons,0.0,6.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d2v1v1,Bioreactor,Bioreactor Vessel,0.99,Strong consensus from both agents with very high confidence (1.00 and 0.98) indicating it is the primary vessel component essential for a bioreactor.,Glass,0.55,Sometimes used for sight windows or sampling ports; not structural but important for visual inspection; alternatives possible but glass is common.,700800,Japan,metric tons,0.0,5.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d2v1v1,Bioreactor,Agitator Assembly,0.95,"Both agents support the agitator with strong confidence (0.95), confirming it is a key mixing element required inside the bioreactor.",Stainless steel (SS 304/316),0.95,"Critical for agitator shaft, blades, and assembly parts due to corrosion resistance and mechanical durability in bioprocessing environments; standard material with very few substitutes.",722000,Nigeria,metric tons,0.0,18.0,0.92,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d2v1v1,Bioreactor,Agitator Assembly,0.95,"Both agents support the agitator with strong confidence (0.95), confirming it is a key mixing element required inside the bioreactor.",Stainless steel (SS 304/316),0.95,"Critical for agitator shaft, blades, and assembly parts due to corrosion resistance and mechanical durability in bioprocessing environments; standard material with very few substitutes.",722000,Russia,metric tons,0.0,15.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d2v1v1,Bioreactor,Agitator Assembly,0.95,"Both agents support the agitator with strong confidence (0.95), confirming it is a key mixing element required inside the bioreactor.",Stainless steel (SS 304/316),0.95,"Critical for agitator shaft, blades, and assembly parts due to corrosion resistance and mechanical durability in bioprocessing environments; standard material with very few substitutes.",722000,India,metric tons,0.0,10.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d2v1v1,Bioreactor,Agitator Assembly,0.95,"Both agents support the agitator with strong confidence (0.95), confirming it is a key mixing element required inside the bioreactor.",Stainless steel (SS 304/316),0.95,"Critical for agitator shaft, blades, and assembly parts due to corrosion resistance and mechanical durability in bioprocessing environments; standard material with very few substitutes.",722000,Australia,metric tons,0.0,13.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d2v1v1,Bioreactor,Agitator Assembly,0.95,"Both agents support the agitator with strong confidence (0.95), confirming it is a key mixing element required inside the bioreactor.",Stainless steel (SS 304/316),0.95,"Critical for agitator shaft, blades, and assembly parts due to corrosion resistance and mechanical durability in bioprocessing environments; standard material with very few substitutes.",722000,Indonesia,metric tons,0.0,10.0,0.87,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
