technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Lithium,0.883,Round 3 refinement with peer support: 2,280520,AUSTRALIA,METRIC TONS,86000.0,47.78,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Lithium,0.883,Round 3 refinement with peer support: 2,280520,CHILE,METRIC TONS,44000.0,24.44,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Lithium,0.883,Round 3 refinement with peer support: 2,280520,CHINA,METRIC TONS,33000.0,18.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Lithium,0.883,Round 3 refinement with peer support: 2,280520,ARGENTINA,METRIC TONS,9600.0,5.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Lithium,0.883,Round 3 refinement with peer support: 2,280520,BRAZIL,METRIC TONS,4900.0,2.72,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Aluminum,0.9,Round 3 refinement with peer support: 2,280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Aluminum,0.9,Round 3 refinement with peer support: 2,280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Aluminum,0.9,Round 3 refinement with peer support: 2,280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Aluminum,0.9,Round 3 refinement with peer support: 2,280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Aluminum,0.9,Round 3 refinement with peer support: 2,280300,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Copper,0.85,Round 3 refinement with peer support: 1,740100,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Copper,0.85,Round 3 refinement with peer support: 1,740100,CHILE,THOUSAND METRIC TONS,5000.0,10.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Copper,0.85,Round 3 refinement with peer support: 1,740100,OTHER,THOUSAND METRIC TONS,3100.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Copper,0.85,Round 3 refinement with peer support: 1,740100,CONGO,THOUSAND METRIC TONS,2500.0,5.1,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Copper,0.85,Round 3 refinement with peer support: 1,740100,PERU,THOUSAND METRIC TONS,2600.0,5.31,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Cobalt,0.85,Round 3 refinement with peer support: 1,810510,CONGO,METRIC TONS,170000.0,73.91,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Cobalt,0.85,Round 3 refinement with peer support: 1,810510,INDONESIA,METRIC TONS,17000.0,7.39,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Three agents support the battery proposal, with an average confidence of 0.89. The battery is crucial for power delivery and operation duration.",Cobalt,0.85,Round 3 refinement with peer support: 1,810510,RUSSIA,METRIC TONS,8800.0,3.83,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
