technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning,dependency_type,extraction_provenance
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Aluminum,0.9,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),280300.0,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Aluminum,0.9,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),280300.0,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Aluminum,0.9,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),280300.0,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Aluminum,0.9,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),280300.0,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Aluminum,0.9,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),280300.0,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Copper,0.85,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),740100.0,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Copper,0.85,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),740100.0,CHILE,THOUSAND METRIC TONS,5000.0,10.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Copper,0.85,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),740100.0,OTHER,THOUSAND METRIC TONS,3100.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Copper,0.85,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),740100.0,CONGO,THOUSAND METRIC TONS,2500.0,5.1,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Copper,0.85,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),740100.0,PERU,THOUSAND METRIC TONS,2600.0,5.31,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
