agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,d5v1v1,Bioreactor,Stainless Steel Vessel,1.0,"Strong consensus among agents with perfect confidence, essential bioreactor vessel component.",Stainless steel (SS 304/316),0.98,"Primary structural material for corrosion resistance and mechanical strength in bioreactor vessels, industry standard stainless steel grades SS 304 or SS 316 are universally used for sanitary and durable tanks.",722000,Nigeria,metric tons,0.0,18.0,0.92,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d5v1v1,Bioreactor,Stainless Steel Vessel,1.0,"Strong consensus among agents with perfect confidence, essential bioreactor vessel component.",Stainless steel (SS 304/316),0.98,"Primary structural material for corrosion resistance and mechanical strength in bioreactor vessels, industry standard stainless steel grades SS 304 or SS 316 are universally used for sanitary and durable tanks.",722000,Russia,metric tons,0.0,15.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d5v1v1,Bioreactor,Stainless Steel Vessel,1.0,"Strong consensus among agents with perfect confidence, essential bioreactor vessel component.",Stainless steel (SS 304/316),0.98,"Primary structural material for corrosion resistance and mechanical strength in bioreactor vessels, industry standard stainless steel grades SS 304 or SS 316 are universally used for sanitary and durable tanks.",722000,India,metric tons,0.0,10.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d5v1v1,Bioreactor,Stainless Steel Vessel,1.0,"Strong consensus among agents with perfect confidence, essential bioreactor vessel component.",Stainless steel (SS 304/316),0.98,"Primary structural material for corrosion resistance and mechanical strength in bioreactor vessels, industry standard stainless steel grades SS 304 or SS 316 are universally used for sanitary and durable tanks.",722000,Australia,metric tons,0.0,13.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d5v1v1,Bioreactor,Stainless Steel Vessel,1.0,"Strong consensus among agents with perfect confidence, essential bioreactor vessel component.",Stainless steel (SS 304/316),0.98,"Primary structural material for corrosion resistance and mechanical strength in bioreactor vessels, industry standard stainless steel grades SS 304 or SS 316 are universally used for sanitary and durable tanks.",722000,Indonesia,metric tons,0.0,10.0,0.87,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d5v1v1,Bioreactor,Stainless Steel Vessel,1.0,"Strong consensus among agents with perfect confidence, essential bioreactor vessel component.",Steel Ingots,0.85,Base raw steel material processed into stainless steel alloys; essential input in manufacturing stainless steel vessels.,720610,China,metric tons,0.0,52.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots
1,d5v1v1,Bioreactor,Stainless Steel Vessel,1.0,"Strong consensus among agents with perfect confidence, essential bioreactor vessel component.",Steel Ingots,0.85,Base raw steel material processed into stainless steel alloys; essential input in manufacturing stainless steel vessels.,720610,Japan,metric tons,0.0,6.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots
1,d5v1v1,Bioreactor,Stainless Steel Vessel,1.0,"Strong consensus among agents with perfect confidence, essential bioreactor vessel component.",Steel Ingots,0.85,Base raw steel material processed into stainless steel alloys; essential input in manufacturing stainless steel vessels.,720610,India,metric tons,0.0,5.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots
1,d5v1v1,Bioreactor,Stainless Steel Vessel,1.0,"Strong consensus among agents with perfect confidence, essential bioreactor vessel component.",Steel Ingots,0.85,Base raw steel material processed into stainless steel alloys; essential input in manufacturing stainless steel vessels.,720610,South Korea,metric tons,0.0,5.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots
1,d5v1v1,Bioreactor,Stainless Steel Vessel,1.0,"Strong consensus among agents with perfect confidence, essential bioreactor vessel component.",Steel Ingots,0.85,Base raw steel material processed into stainless steel alloys; essential input in manufacturing stainless steel vessels.,720610,Germany,metric tons,0.0,4.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots
