agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,v1v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.98,"Core functional component where freezing and drying occur; present in all freeze dryers as a separate, integral unit.",Stainless steel (SS 316),0.95,Primary structural material providing vacuum integrity and corrosion resistance; industry standard for vacuum chambers due to durability and inertness.,722000,China,metric tons,0.0,36.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 316)
1,v1v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.98,"Core functional component where freezing and drying occur; present in all freeze dryers as a separate, integral unit.",Stainless steel (SS 316),0.95,Primary structural material providing vacuum integrity and corrosion resistance; industry standard for vacuum chambers due to durability and inertness.,722000,Japan,metric tons,0.0,28.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 316)
1,v1v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.98,"Core functional component where freezing and drying occur; present in all freeze dryers as a separate, integral unit.",Stainless steel (SS 316),0.95,Primary structural material providing vacuum integrity and corrosion resistance; industry standard for vacuum chambers due to durability and inertness.,722000,India,metric tons,0.0,21.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 316)
1,v1v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.98,"Core functional component where freezing and drying occur; present in all freeze dryers as a separate, integral unit.",Stainless steel (SS 316),0.95,Primary structural material providing vacuum integrity and corrosion resistance; industry standard for vacuum chambers due to durability and inertness.,722000,United States,metric tons,0.0,14.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 316)
1,v1v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.98,"Core functional component where freezing and drying occur; present in all freeze dryers as a separate, integral unit.",Stainless steel (SS 316),0.95,Primary structural material providing vacuum integrity and corrosion resistance; industry standard for vacuum chambers due to durability and inertness.,722000,South Korea,metric tons,0.0,11.0,0.65,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 316)
1,v1v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.98,"Core functional component where freezing and drying occur; present in all freeze dryers as a separate, integral unit.",Aluminum,0.7,Commonly used alternative to stainless steel for vacuum chamber construction due to lightweight and good thermal conductivity but less corrosion resistant.,280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.98,"Core functional component where freezing and drying occur; present in all freeze dryers as a separate, integral unit.",Aluminum,0.7,Commonly used alternative to stainless steel for vacuum chamber construction due to lightweight and good thermal conductivity but less corrosion resistant.,280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.98,"Core functional component where freezing and drying occur; present in all freeze dryers as a separate, integral unit.",Aluminum,0.7,Commonly used alternative to stainless steel for vacuum chamber construction due to lightweight and good thermal conductivity but less corrosion resistant.,280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.98,"Core functional component where freezing and drying occur; present in all freeze dryers as a separate, integral unit.",Aluminum,0.7,Commonly used alternative to stainless steel for vacuum chamber construction due to lightweight and good thermal conductivity but less corrosion resistant.,280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.98,"Core functional component where freezing and drying occur; present in all freeze dryers as a separate, integral unit.",Aluminum,0.7,Commonly used alternative to stainless steel for vacuum chamber construction due to lightweight and good thermal conductivity but less corrosion resistant.,280300,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
