agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,v1v1v1,Hydroponic Systems,Grow Tray and Channel,0.95,"Core growing medium for plants where nutrient film flows; procured as modular channels typically made from PVC or food-safe plastic, universally present in all NFT hydroponic systems.",Polyethylene,0.9,"Widely used polymer for lightweight, corrosion-resistant growing channels; essential for water resistance and durability with few alternatives in hydroponics.",390110,China,metric tons,36283333.333333336,31.17,0.877,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,v1v1v1,Hydroponic Systems,Grow Tray and Channel,0.95,"Core growing medium for plants where nutrient film flows; procured as modular channels typically made from PVC or food-safe plastic, universally present in all NFT hydroponic systems.",Polyethylene,0.9,"Widely used polymer for lightweight, corrosion-resistant growing channels; essential for water resistance and durability with few alternatives in hydroponics.",390110,United States,metric tons,19506666.666666668,16.73,0.87,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,v1v1v1,Hydroponic Systems,Grow Tray and Channel,0.95,"Core growing medium for plants where nutrient film flows; procured as modular channels typically made from PVC or food-safe plastic, universally present in all NFT hydroponic systems.",Polyethylene,0.9,"Widely used polymer for lightweight, corrosion-resistant growing channels; essential for water resistance and durability with few alternatives in hydroponics.",390110,Saudi Arabia,metric tons,10090000.0,8.7,0.807,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,v1v1v1,Hydroponic Systems,Grow Tray and Channel,0.95,"Core growing medium for plants where nutrient film flows; procured as modular channels typically made from PVC or food-safe plastic, universally present in all NFT hydroponic systems.",Polyethylene,0.9,"Widely used polymer for lightweight, corrosion-resistant growing channels; essential for water resistance and durability with few alternatives in hydroponics.",390110,South Korea,metric tons,6446666.666666667,5.53,0.84,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,v1v1v1,Hydroponic Systems,Grow Tray and Channel,0.95,"Core growing medium for plants where nutrient film flows; procured as modular channels typically made from PVC or food-safe plastic, universally present in all NFT hydroponic systems.",Polyethylene,0.9,"Widely used polymer for lightweight, corrosion-resistant growing channels; essential for water resistance and durability with few alternatives in hydroponics.",390110,Iran,metric tons,6470000.0,5.6,0.65,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,v1v1v1,Hydroponic Systems,Grow Tray and Channel,0.95,"Core growing medium for plants where nutrient film flows; procured as modular channels typically made from PVC or food-safe plastic, universally present in all NFT hydroponic systems.",Polyvinyl chloride,0.8,Common plastic used for rigid tubing and channel structures; standard though alternatives like polyethylene exist.,390410,China,metric tons,0.0,45.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,v1v1v1,Hydroponic Systems,Grow Tray and Channel,0.95,"Core growing medium for plants where nutrient film flows; procured as modular channels typically made from PVC or food-safe plastic, universally present in all NFT hydroponic systems.",Polyvinyl chloride,0.8,Common plastic used for rigid tubing and channel structures; standard though alternatives like polyethylene exist.,390410,India,metric tons,0.0,12.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,v1v1v1,Hydroponic Systems,Grow Tray and Channel,0.95,"Core growing medium for plants where nutrient film flows; procured as modular channels typically made from PVC or food-safe plastic, universally present in all NFT hydroponic systems.",Polyvinyl chloride,0.8,Common plastic used for rigid tubing and channel structures; standard though alternatives like polyethylene exist.,390410,Germany,metric tons,0.0,7.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,v1v1v1,Hydroponic Systems,Grow Tray and Channel,0.95,"Core growing medium for plants where nutrient film flows; procured as modular channels typically made from PVC or food-safe plastic, universally present in all NFT hydroponic systems.",Polyvinyl chloride,0.8,Common plastic used for rigid tubing and channel structures; standard though alternatives like polyethylene exist.,390410,Italy,metric tons,0.0,5.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,v1v1v1,Hydroponic Systems,Grow Tray and Channel,0.95,"Core growing medium for plants where nutrient film flows; procured as modular channels typically made from PVC or food-safe plastic, universally present in all NFT hydroponic systems.",Polyvinyl chloride,0.8,Common plastic used for rigid tubing and channel structures; standard though alternatives like polyethylene exist.,390410,United States,metric tons,0.0,4.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
