domain,tech,role
Clinical Diagnostics,Real-Time PCR Thermocycler,an expert in clinical diagnostics instrumentation
Clinical Diagnostics,Clinical Flow Cytometer,an expert in clinical diagnostics instrumentation
Clinical Diagnostics,Automated Immunoassay Analyzer,an expert in clinical diagnostics instrumentation
Clinical Diagnostics,Hematology Analyzer,an expert in clinical diagnostics instrumentation
Clinical Diagnostics,Blood Gas Analyzer,an expert in clinical diagnostics instrumentation
Genomics and Sequencing,Illumina Short-Read DNA Sequencer,an expert in genomics instrumentation
Genomics and Sequencing,Nanopore Sequencer,an expert in genomics instrumentation
Genomics and Sequencing,Microarray Scanner,an expert in genomics instrumentation
Genomics and Sequencing,Capillary Electrophoresis Genetic Analyzer,an expert in genomics instrumentation
Genomics and Sequencing,Single-Cell RNA-Seq Instrument,an expert in genomics instrumentation
Synthetic Biology and Gene Editing,Oligonucleotide Synthesizer,an expert in synthetic biology instrumentation
Synthetic Biology and Gene Editing,Benchtop DNA Printer,an expert in synthetic biology instrumentation
Synthetic Biology and Gene Editing,CRISPR Electroporation System,an expert in synthetic biology instrumentation
Synthetic Biology and Gene Editing,Automated Molecular Cloning Workstation,an expert in synthetic biology instrumentation
Synthetic Biology and Gene Editing,Gene Assembly Platform,an expert in synthetic biology instrumentation
Cell and Gene Therapy Manufacturing,Closed-System Cell Expansion Bioreactor,an expert in cell and gene therapy manufacturing
Cell and Gene Therapy Manufacturing,Viral Vector Production Bioreactor,an expert in cell and gene therapy manufacturing
Cell and Gene Therapy Manufacturing,Cell Washing and Concentration System,an expert in cell and gene therapy manufacturing
Cell and Gene Therapy Manufacturing,Cryopreservation Controlled-Rate Freezer,an expert in cell and gene therapy manufacturing
Cell and Gene Therapy Manufacturing,Lentiviral Transfection System,an expert in cell and gene therapy manufacturing
Biopharmaceutical Production,Single-Use Stirred-Tank Bioreactor (2000L),an expert in biopharmaceutical manufacturing
Biopharmaceutical Production,Continuous mRNA Manufacturing System,an expert in biopharmaceutical manufacturing
Biopharmaceutical Production,Stainless Steel Fed-Batch Bioreactor,an expert in biopharmaceutical manufacturing
Biopharmaceutical Production,Vaccine Fill-Finish Line,an expert in biopharmaceutical manufacturing
Biopharmaceutical Production,Monoclonal Antibody Perfusion Bioreactor,an expert in biopharmaceutical manufacturing
Drug Delivery Systems,Lipid Nanoparticle Encapsulation System,an expert in drug delivery systems manufacturing
Drug Delivery Systems,Prefilled Syringe Autoinjector,an expert in drug delivery systems manufacturing
Drug Delivery Systems,Implantable Drug Infusion Pump,an expert in drug delivery systems manufacturing
Drug Delivery Systems,Metered-Dose Inhaler,an expert in drug delivery systems manufacturing
Drug Delivery Systems,Transdermal Patch Manufacturing System,an expert in drug delivery systems manufacturing
Bioprocessing Equipment,Tangential Flow Filtration Cassette System,an expert in bioprocessing equipment manufacturing
Bioprocessing Equipment,Protein A Chromatography Column,an expert in bioprocessing equipment manufacturing
Bioprocessing Equipment,Industrial Freeze Dryer (Lyophilizer),an expert in bioprocessing equipment manufacturing
Bioprocessing Equipment,Continuous Centrifuge Separator,an expert in bioprocessing equipment manufacturing
Bioprocessing Equipment,Sterile Filtration Skid,an expert in bioprocessing equipment manufacturing
Agricultural Biotechnology,Plant Transformation Gene Gun,an expert in agricultural biotechnology equipment
Agricultural Biotechnology,Seed Trait Analysis Platform,an expert in agricultural biotechnology equipment
Agricultural Biotechnology,Biopesticide Fermentation Unit,an expert in agricultural biotechnology equipment
Agricultural Biotechnology,Tissue Culture Growth Chamber,an expert in agricultural biotechnology equipment
Agricultural Biotechnology,Phenotyping Imaging Robot,an expert in agricultural biotechnology equipment
Industrial Fermentation,Industrial Enzyme Fermenter (50000L),an expert in industrial fermentation equipment
Industrial Fermentation,Bioethanol Distillation Column,an expert in industrial fermentation equipment
Industrial Fermentation,PHA Bioplastic Extractor,an expert in industrial fermentation equipment
Industrial Fermentation,Yeast Propagation Tank,an expert in industrial fermentation equipment
Industrial Fermentation,Algae Photobioreactor,an expert in industrial fermentation equipment
Point-of-Care and Biosensors,Continuous Glucose Monitor,an expert in point-of-care diagnostics and biosensor manufacturing
Point-of-Care and Biosensors,Lateral Flow Immunoassay Reader,an expert in point-of-care diagnostics and biosensor manufacturing
Point-of-Care and Biosensors,Portable Blood Coagulation Meter,an expert in point-of-care diagnostics and biosensor manufacturing
Point-of-Care and Biosensors,Handheld Pulse Oximeter,an expert in point-of-care diagnostics and biosensor manufacturing
Point-of-Care and Biosensors,Rapid Molecular Diagnostic Cartridge System,an expert in point-of-care diagnostics and biosensor manufacturing
Biomedical Imaging,Confocal Laser Scanning Microscope,an expert in biomedical imaging instrumentation
Biomedical Imaging,Cryo-Electron Microscope,an expert in biomedical imaging instrumentation
Biomedical Imaging,Small Animal PET/CT Scanner,an expert in biomedical imaging instrumentation
Biomedical Imaging,Super-Resolution Fluorescence Microscope,an expert in biomedical imaging instrumentation
Biomedical Imaging,Digital Pathology Slide Scanner,an expert in biomedical imaging instrumentation
Laboratory Automation,Automated Liquid Handling Robot,an expert in laboratory automation systems
Laboratory Automation,High-Throughput Microplate Reader,an expert in laboratory automation systems
Laboratory Automation,Robotic Colony Picker,an expert in laboratory automation systems
Laboratory Automation,Automated Nucleic Acid Extraction System,an expert in laboratory automation systems
Laboratory Automation,Laboratory Sample Storage Freezer (-80C),an expert in laboratory automation systems
