agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Tool steel,0.95,"Punch sets require high strength and wear resistance; tool steel is industry standard for hardness and durability, making it absolutely essential.",722840,China,metric tons,0.0,40.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Tool steel,0.95,"Punch sets require high strength and wear resistance; tool steel is industry standard for hardness and durability, making it absolutely essential.",722840,Germany,metric tons,0.0,15.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Tool steel,0.95,"Punch sets require high strength and wear resistance; tool steel is industry standard for hardness and durability, making it absolutely essential.",722840,Japan,metric tons,0.0,12.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Tool steel,0.95,"Punch sets require high strength and wear resistance; tool steel is industry standard for hardness and durability, making it absolutely essential.",722840,United States,metric tons,0.0,10.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Tool steel,0.95,"Punch sets require high strength and wear resistance; tool steel is industry standard for hardness and durability, making it absolutely essential.",722840,South Korea,metric tons,0.0,8.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Titanium nitride,0.7,Often used as a coating on punches to reduce wear and friction; common but alternatives exist such as titanium carbide coatings.,285000,China,metric tons,0.0,50.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Titanium nitride
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Titanium nitride,0.7,Often used as a coating on punches to reduce wear and friction; common but alternatives exist such as titanium carbide coatings.,285000,Russia,metric tons,0.0,20.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Titanium nitride
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Titanium nitride,0.7,Often used as a coating on punches to reduce wear and friction; common but alternatives exist such as titanium carbide coatings.,285000,Japan,metric tons,0.0,15.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Titanium nitride
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Titanium nitride,0.7,Often used as a coating on punches to reduce wear and friction; common but alternatives exist such as titanium carbide coatings.,285000,United States,metric tons,0.0,10.0,0.7,LLM fallback cache (previously computed) - no USGS data available for Titanium nitride
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Titanium nitride,0.7,Often used as a coating on punches to reduce wear and friction; common but alternatives exist such as titanium carbide coatings.,285000,Germany,metric tons,0.0,5.0,0.65,LLM fallback cache (previously computed) - no USGS data available for Titanium nitride
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Stainless steel,0.6,Alternative material for punches in some lower wear applications; moderately confident as it may be substituted with tool steel.,722000,China,metric tons,31600000.0,56.53,0.913,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Stainless steel,0.6,Alternative material for punches in some lower wear applications; moderately confident as it may be substituted with tool steel.,722000,India,metric tons,3800000.0,6.8,0.86,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Stainless steel,0.6,Alternative material for punches in some lower wear applications; moderately confident as it may be substituted with tool steel.,722000,Japan,metric tons,3043333.3333333335,5.43,0.893,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Stainless steel,0.6,Alternative material for punches in some lower wear applications; moderately confident as it may be substituted with tool steel.,722000,United States,metric tons,2473333.3333333335,4.43,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Punch And Die Tooling Set,0.98,Strong consensus with 4 agents selecting it and average confidence 0.98; core tooling component for tablet formation.,Stainless steel,0.6,Alternative material for punches in some lower wear applications; moderately confident as it may be substituted with tool steel.,722000,South Korea,metric tons,2136666.6666666665,3.83,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Steel Ingots,0.9,"Primary bulk material for structural components in rotary turrets, provides mechanical strength and machinability.",720610,China,metric tons,0.0,52.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Steel Ingots,0.9,"Primary bulk material for structural components in rotary turrets, provides mechanical strength and machinability.",720610,Japan,metric tons,0.0,6.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Steel Ingots,0.9,"Primary bulk material for structural components in rotary turrets, provides mechanical strength and machinability.",720610,India,metric tons,0.0,5.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Steel Ingots,0.9,"Primary bulk material for structural components in rotary turrets, provides mechanical strength and machinability.",720610,South Korea,metric tons,0.0,5.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Steel Ingots,0.9,"Primary bulk material for structural components in rotary turrets, provides mechanical strength and machinability.",720610,Germany,metric tons,0.0,4.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Stainless steel,0.75,Used especially for corrosion resistance on certain turret parts; commonly used but some alternatives are possible.,722000,China,metric tons,31600000.0,56.53,0.913,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Stainless steel,0.75,Used especially for corrosion resistance on certain turret parts; commonly used but some alternatives are possible.,722000,India,metric tons,3800000.0,6.8,0.86,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Stainless steel,0.75,Used especially for corrosion resistance on certain turret parts; commonly used but some alternatives are possible.,722000,Japan,metric tons,3043333.3333333335,5.43,0.893,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Stainless steel,0.75,Used especially for corrosion resistance on certain turret parts; commonly used but some alternatives are possible.,722000,United States,metric tons,2473333.3333333335,4.43,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Stainless steel,0.75,Used especially for corrosion resistance on certain turret parts; commonly used but some alternatives are possible.,722000,South Korea,metric tons,2136666.6666666665,3.83,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Titanium,0.5,Used for weight reduction and corrosion resistance in specialized applications; less common hence lower confidence.,810810,China,metric tons of titanium mineral concentrates,0.0,50.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Titanium
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Titanium,0.5,Used for weight reduction and corrosion resistance in specialized applications; less common hence lower confidence.,810810,Australia,metric tons of titanium mineral concentrates,0.0,20.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Titanium
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Titanium,0.5,Used for weight reduction and corrosion resistance in specialized applications; less common hence lower confidence.,810810,South Africa,metric tons of titanium mineral concentrates,0.0,15.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Titanium
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Titanium,0.5,Used for weight reduction and corrosion resistance in specialized applications; less common hence lower confidence.,810810,India,metric tons of titanium mineral concentrates,0.0,8.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Titanium
1,d5v1v1,Tablet Press (Rotary Tablet Press),Rotating Turret Assembly,0.97,Strong consensus with 5 agents selecting it and high average confidence 0.97; essential rotary component for tablet press.,Titanium,0.5,Used for weight reduction and corrosion resistance in specialized applications; less common hence lower confidence.,810810,Vietnam,metric tons of titanium mineral concentrates,0.0,5.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Titanium
