technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Glass,0.95,"Glass serves as the substrate for structural support and optical clarity, universally used in rigid OLED displays, making it essential.",700800,China,metric tons,0.0,63.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Glass,0.95,"Glass serves as the substrate for structural support and optical clarity, universally used in rigid OLED displays, making it essential.",700800,United States,metric tons,0.0,12.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Glass,0.95,"Glass serves as the substrate for structural support and optical clarity, universally used in rigid OLED displays, making it essential.",700800,Germany,metric tons,0.0,7.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Glass,0.95,"Glass serves as the substrate for structural support and optical clarity, universally used in rigid OLED displays, making it essential.",700800,India,metric tons,0.0,6.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Glass,0.95,"Glass serves as the substrate for structural support and optical clarity, universally used in rigid OLED displays, making it essential.",700800,Japan,metric tons,0.0,5.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Indium,0.9,"Indium is critical in indium tin oxide (ITO) transparent electrodes for OLEDs, standard in the industry though emerging materials exist.",811299,CHINA,METRIC TONS,650.0,65.66,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Indium,0.9,"Indium is critical in indium tin oxide (ITO) transparent electrodes for OLEDs, standard in the industry though emerging materials exist.",811299,"KOREA, REPUBLIC OF",METRIC TONS,200.0,20.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Indium,0.9,"Indium is critical in indium tin oxide (ITO) transparent electrodes for OLEDs, standard in the industry though emerging materials exist.",811299,JAPAN,METRIC TONS,64.0,6.46,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Indium,0.9,"Indium is critical in indium tin oxide (ITO) transparent electrodes for OLEDs, standard in the industry though emerging materials exist.",811299,CANADA,METRIC TONS,37.0,3.74,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Indium,0.9,"Indium is critical in indium tin oxide (ITO) transparent electrodes for OLEDs, standard in the industry though emerging materials exist.",811299,BELGIUM,METRIC TONS,18.0,1.82,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Silver,0.65,Silver functions as an electrode material in OLEDs; common but sometimes replaced by aluminum or other conductors.,710610,MEXICO,METRIC TONS,6400.0,24.62,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Silver,0.65,Silver functions as an electrode material in OLEDs; common but sometimes replaced by aluminum or other conductors.,710610,CHINA,METRIC TONS,3400.0,13.08,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Silver,0.65,Silver functions as an electrode material in OLEDs; common but sometimes replaced by aluminum or other conductors.,710610,PERU,METRIC TONS,3100.0,11.92,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Silver,0.65,Silver functions as an electrode material in OLEDs; common but sometimes replaced by aluminum or other conductors.,710610,OTHER,METRIC TONS,3000.0,11.54,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Silver,0.65,Silver functions as an electrode material in OLEDs; common but sometimes replaced by aluminum or other conductors.,710610,CHILE,METRIC TONS,1400.0,5.38,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Aluminum,0.8,"Used for electrode layers and reflective coatings, essential standard metal used across many display modules.",280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Aluminum,0.8,"Used for electrode layers and reflective coatings, essential standard metal used across many display modules.",280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Aluminum,0.8,"Used for electrode layers and reflective coatings, essential standard metal used across many display modules.",280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Aluminum,0.8,"Used for electrode layers and reflective coatings, essential standard metal used across many display modules.",280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,Strong consensus from all three agents with high confidence; essential for smartphone display.,Aluminum,0.8,"Used for electrode layers and reflective coatings, essential standard metal used across many display modules.",280300,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Strong consensus and high confidence from multiple agents; critical main power source.,Lithium,0.95,"Lithium is primary for energy storage chemistry, absolutely essential with no commercial alternatives.",280520,AUSTRALIA,METRIC TONS,86000.0,47.78,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Strong consensus and high confidence from multiple agents; critical main power source.,Lithium,0.95,"Lithium is primary for energy storage chemistry, absolutely essential with no commercial alternatives.",280520,CHILE,METRIC TONS,44000.0,24.44,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
