technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Silicon,0.95,Round 2 refinement with peer support: 2,,CHINA,THOUSAND METRIC TONS,3600.0,40.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Silicon,0.95,Round 2 refinement with peer support: 2,,RUSSIA,THOUSAND METRIC TONS,570.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Silicon,0.95,Round 2 refinement with peer support: 2,,BRAZIL,THOUSAND METRIC TONS,190.0,2.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Silicon,0.95,Round 2 refinement with peer support: 2,,NORWAY,THOUSAND METRIC TONS,200.0,2.22,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Silicon,0.95,Round 2 refinement with peer support: 2,,OTHER,THOUSAND METRIC TONS,100.0,1.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Silver,0.95,Round 2 refinement with peer support: 2,,MEXICO,METRIC TONS,6400.0,24.62,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Silver,0.95,Round 2 refinement with peer support: 2,,CHINA,METRIC TONS,3400.0,13.08,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Silver,0.95,Round 2 refinement with peer support: 2,,PERU,METRIC TONS,3100.0,11.92,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Silver,0.95,Round 2 refinement with peer support: 2,,OTHER,METRIC TONS,3000.0,11.54,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Silver,0.95,Round 2 refinement with peer support: 2,,CHILE,METRIC TONS,1400.0,5.38,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Borosilicate glass,0.7,Round 3 refinement with peer support: 0,,China,metric tons,1156666.6666666667,46.67,0.777,Leading producer in Asia with significant domestic and export market; data from industry reports.
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Borosilicate glass,0.7,Round 3 refinement with peer support: 0,,Japan,metric tons,365333.3333333333,10.1,0.8,Second-largest producer focusing on high-tech applications; accurate reporting by Japanese Ministry of Economy.
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Borosilicate glass,0.7,Round 3 refinement with peer support: 0,,Germany,metric tons,241166.66666666666,8.93,0.767,Multi-agent debate consensus
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Borosilicate glass,0.7,Round 3 refinement with peer support: 0,,United States,metric tons,65000.0,15.0,0.715,Multi-agent debate consensus
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Borosilicate glass,0.7,Round 3 refinement with peer support: 0,,Italy,metric tons,108933.33333333333,4.87,0.737,Multi-agent debate consensus
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Borophosphosilicate glass (BPSG),0.7,Round 3 refinement with peer support: 0,,Japan,metric tons,18775.0,17.17,0.74,Significant producer with strong electronics sector backing; data from recent trade statistics.
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Borophosphosilicate glass (BPSG),0.7,Round 3 refinement with peer support: 0,,South Korea,metric tons,14091.666666666666,15.33,0.783,Multi-agent debate consensus
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Borophosphosilicate glass (BPSG),0.7,Round 3 refinement with peer support: 0,,Taiwan,metric tons,7730.0,9.57,0.783,Multi-agent debate consensus
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Borophosphosilicate glass (BPSG),0.7,Round 3 refinement with peer support: 0,,China,metric tons,41058.333333333336,24.17,0.743,Multi-agent debate consensus
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Borophosphosilicate glass (BPSG),0.7,Round 3 refinement with peer support: 0,,Germany,metric tons,2898.3333333333335,7.0,0.783,Multi-agent debate consensus
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Boron,0.85,Round 3 refinement with peer support: 1,,Turkey,metric tons,88246.66666666667,47.5,0.833,Turkish Boron Corporation (TBC) is the largest producer in Turkey; comprehensive data from TBC.
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Boron,0.85,Round 3 refinement with peer support: 1,,China,metric tons,31253.333333333332,26.07,0.833,Based on the latest Chinese mining statistics from 2023; reliable government data.
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Boron,0.85,Round 3 refinement with peer support: 1,,Uzbekistan,metric tons,10441.333333333334,6.86,0.75,Multi-agent debate consensus
Solar Panel,monocrystalline solar cells,0.98,Strong consensus among all three agents with a high average confidence score of 0.98. These are the primary energy-generating part of a solar panel.,Boron,0.85,Round 3 refinement with peer support: 1,,Algeria,metric tons,14268.0,16.8,0.85,Data from the Algerian Ministry of Mines; known for high-quality boron minerals.
