technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Glass,0.95,"Provides structural support and optical clarity for the OLED display, universally used as a substrate in rigid displays.",700800,China,metric tons,0.0,63.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Glass,0.95,"Provides structural support and optical clarity for the OLED display, universally used as a substrate in rigid displays.",700800,United States,metric tons,0.0,12.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Glass,0.95,"Provides structural support and optical clarity for the OLED display, universally used as a substrate in rigid displays.",700800,Germany,metric tons,0.0,7.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Glass,0.95,"Provides structural support and optical clarity for the OLED display, universally used as a substrate in rigid displays.",700800,India,metric tons,0.0,6.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Glass,0.95,"Provides structural support and optical clarity for the OLED display, universally used as a substrate in rigid displays.",700800,Japan,metric tons,0.0,5.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Indium,0.9,Used in indium tin oxide (ITO) transparent conductive coatings essential for touchscreen and display operation; industry standard with limited alternatives.,811299,CHINA,METRIC TONS,650.0,65.66,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Indium,0.9,Used in indium tin oxide (ITO) transparent conductive coatings essential for touchscreen and display operation; industry standard with limited alternatives.,811299,"KOREA, REPUBLIC OF",METRIC TONS,200.0,20.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Indium,0.9,Used in indium tin oxide (ITO) transparent conductive coatings essential for touchscreen and display operation; industry standard with limited alternatives.,811299,JAPAN,METRIC TONS,64.0,6.46,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Indium,0.9,Used in indium tin oxide (ITO) transparent conductive coatings essential for touchscreen and display operation; industry standard with limited alternatives.,811299,CANADA,METRIC TONS,37.0,3.74,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Indium,0.9,Used in indium tin oxide (ITO) transparent conductive coatings essential for touchscreen and display operation; industry standard with limited alternatives.,811299,BELGIUM,METRIC TONS,18.0,1.82,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Acrylic,0.7,Polymers like acrylic are commonly used in display housing and protective layers; multiple polymer alternatives exist.,390690,China,metric tons,0.0,55.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Acrylic
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Acrylic,0.7,Polymers like acrylic are commonly used in display housing and protective layers; multiple polymer alternatives exist.,390690,United States,metric tons,0.0,15.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Acrylic
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Acrylic,0.7,Polymers like acrylic are commonly used in display housing and protective layers; multiple polymer alternatives exist.,390690,South Korea,metric tons,0.0,10.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Acrylic
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Acrylic,0.7,Polymers like acrylic are commonly used in display housing and protective layers; multiple polymer alternatives exist.,390690,Japan,metric tons,0.0,12.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Acrylic
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Acrylic,0.7,Polymers like acrylic are commonly used in display housing and protective layers; multiple polymer alternatives exist.,390690,Germany,metric tons,0.0,8.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Acrylic
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Silver,0.65,Used in cathode electrode materials; aluminum can substitute but silver is common for high conductivity.,710610,MEXICO,METRIC TONS,6400.0,24.62,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Silver,0.65,Used in cathode electrode materials; aluminum can substitute but silver is common for high conductivity.,710610,CHINA,METRIC TONS,3400.0,13.08,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Silver,0.65,Used in cathode electrode materials; aluminum can substitute but silver is common for high conductivity.,710610,PERU,METRIC TONS,3100.0,11.92,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Silver,0.65,Used in cathode electrode materials; aluminum can substitute but silver is common for high conductivity.,710610,OTHER,METRIC TONS,3000.0,11.54,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,AMOLED Display Module,0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones",Silver,0.65,Used in cathode electrode materials; aluminum can substitute but silver is common for high conductivity.,710610,CHILE,METRIC TONS,1400.0,5.38,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain",Lithium,0.95,"Primary energy storage element in lithium-ion chemistry, absolutely essential with no viable substitutes commercially.",280520,AUSTRALIA,METRIC TONS,86000.0,47.78,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain",Lithium,0.95,"Primary energy storage element in lithium-ion chemistry, absolutely essential with no viable substitutes commercially.",280520,CHILE,METRIC TONS,44000.0,24.44,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain",Lithium,0.95,"Primary energy storage element in lithium-ion chemistry, absolutely essential with no viable substitutes commercially.",280520,CHINA,METRIC TONS,33000.0,18.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain",Lithium,0.95,"Primary energy storage element in lithium-ion chemistry, absolutely essential with no viable substitutes commercially.",280520,ARGENTINA,METRIC TONS,9600.0,5.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain",Lithium,0.95,"Primary energy storage element in lithium-ion chemistry, absolutely essential with no viable substitutes commercially.",280520,BRAZIL,METRIC TONS,4900.0,2.72,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain",Cobalt,0.85,"Critical cathode material providing energy density and stability, standard in many lithium-ion chemistries; some chemistries use alternatives.",810510,CONGO,METRIC TONS,170000.0,73.91,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Battery Pack,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain",Cobalt,0.85,"Critical cathode material providing energy density and stability, standard in many lithium-ion chemistries; some chemistries use alternatives.",810510,INDONESIA,METRIC TONS,17000.0,7.39,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
