agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Polyvinyl chloride,0.9,Used for tubing and housing due to chemical resistance and durability; standard in fluid delivery systems.,390410,China,metric tons,0.0,45.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Polyvinyl chloride,0.9,Used for tubing and housing due to chemical resistance and durability; standard in fluid delivery systems.,390410,India,metric tons,0.0,12.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Polyvinyl chloride,0.9,Used for tubing and housing due to chemical resistance and durability; standard in fluid delivery systems.,390410,Germany,metric tons,0.0,7.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Polyvinyl chloride,0.9,Used for tubing and housing due to chemical resistance and durability; standard in fluid delivery systems.,390410,Italy,metric tons,0.0,5.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Polyvinyl chloride,0.9,Used for tubing and housing due to chemical resistance and durability; standard in fluid delivery systems.,390410,United States,metric tons,0.0,4.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Stainless steel,0.85,Common material for pump and valve components for corrosion resistance and strength; industry standard.,722000,China,metric tons,31600000.0,56.53,0.913,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Stainless steel,0.85,Common material for pump and valve components for corrosion resistance and strength; industry standard.,722000,India,metric tons,3800000.0,6.8,0.86,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Stainless steel,0.85,Common material for pump and valve components for corrosion resistance and strength; industry standard.,722000,Japan,metric tons,3043333.3333333335,5.43,0.893,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Stainless steel,0.85,Common material for pump and valve components for corrosion resistance and strength; industry standard.,722000,United States,metric tons,2473333.3333333335,4.43,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Stainless steel,0.85,Common material for pump and valve components for corrosion resistance and strength; industry standard.,722000,South Korea,metric tons,2136666.6666666665,3.83,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Copper,0.75,Used in internal wiring and electrical components for conductivity; commonly used but alternatives like aluminum exist.,740100,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Copper,0.75,Used in internal wiring and electrical components for conductivity; commonly used but alternatives like aluminum exist.,740100,CHILE,THOUSAND METRIC TONS,5000.0,10.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Copper,0.75,Used in internal wiring and electrical components for conductivity; commonly used but alternatives like aluminum exist.,740100,OTHER,THOUSAND METRIC TONS,3100.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Copper,0.75,Used in internal wiring and electrical components for conductivity; commonly used but alternatives like aluminum exist.,740100,CONGO,THOUSAND METRIC TONS,2500.0,5.1,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Copper,0.75,Used in internal wiring and electrical components for conductivity; commonly used but alternatives like aluminum exist.,740100,PERU,THOUSAND METRIC TONS,2600.0,5.31,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Aluminum,0.65,"Used in lightweight structural components or housings, less critical but frequent due to corrosion resistance.",280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d5v1v1,Hydroponic Systems,Nutrient Delivery and Dosing System,0.95,Strong consensus among all agents with highest average confidence of 0.95; core component for hydroponic systems.,Aluminum,0.65,"Used in lightweight structural components or housings, less critical but frequent due to corrosion resistance.",280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
