agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Stainless steel,0.95,"Primary structural material, offering wear resistance and strength essential to die table function; industry standard with limited substitutes.",722000,China,metric tons,31600000.0,56.53,0.913,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Stainless steel,0.95,"Primary structural material, offering wear resistance and strength essential to die table function; industry standard with limited substitutes.",722000,India,metric tons,3800000.0,6.8,0.86,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Stainless steel,0.95,"Primary structural material, offering wear resistance and strength essential to die table function; industry standard with limited substitutes.",722000,Japan,metric tons,3043333.3333333335,5.43,0.893,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Stainless steel,0.95,"Primary structural material, offering wear resistance and strength essential to die table function; industry standard with limited substitutes.",722000,United States,metric tons,2473333.3333333335,4.43,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Stainless steel,0.95,"Primary structural material, offering wear resistance and strength essential to die table function; industry standard with limited substitutes.",722000,South Korea,metric tons,2136666.6666666665,3.83,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Tool steel,0.9,Used for die inserts due to high hardness and durability; critical for precision and longevity of dies; very common choice.,722840,China,metric tons,0.0,40.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Tool steel,0.9,Used for die inserts due to high hardness and durability; critical for precision and longevity of dies; very common choice.,722840,Germany,metric tons,0.0,15.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Tool steel,0.9,Used for die inserts due to high hardness and durability; critical for precision and longevity of dies; very common choice.,722840,Japan,metric tons,0.0,12.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Tool steel,0.9,Used for die inserts due to high hardness and durability; critical for precision and longevity of dies; very common choice.,722840,United States,metric tons,0.0,10.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Tool steel,0.9,Used for die inserts due to high hardness and durability; critical for precision and longevity of dies; very common choice.,722840,South Korea,metric tons,0.0,8.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Titanium nitride,0.7,Commonly used as coating to improve wear resistance and reduce friction on die surfaces; alternatives exist but widely applied.,285000,China,metric tons,0.0,50.0,0.85,"China is the largest global producer of titanium-based compounds including titanium nitride, based on recent industry reports and production capacities reported by metallurgy associations (2022-2023). Confidence is very good but exact titanium nitride specific data is less transparent."
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Titanium nitride,0.7,Commonly used as coating to improve wear resistance and reduce friction on die surfaces; alternatives exist but widely applied.,285000,Russia,metric tons,0.0,20.0,0.75,"Russia is a known producer of titanium compounds with several mining and processing facilities; estimate based on metallurgical output from titanium ores and secondary sources in 2022-2023 trade reports, but specific titanium nitride production figures are not fully disclosed."
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Titanium nitride,0.7,Commonly used as coating to improve wear resistance and reduce friction on die surfaces; alternatives exist but widely applied.,285000,Japan,metric tons,0.0,15.0,0.8,"Japan has established titanium processing industries producing titanium nitrides for industrial applications. Data from industrial chemical production reports 2023 indicates stable production, though numbers are proprietary."
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Titanium nitride,0.7,Commonly used as coating to improve wear resistance and reduce friction on die surfaces; alternatives exist but widely applied.,285000,United States,metric tons,0.0,10.0,0.7,US titanium processing plants manufacture titanium nitride coatings and powders; 2022 production estimates provided by industry analysts but exact production data is limited.
1,v1v1v1,Tablet Press (Rotary Tablet Press),Turret (Die Table),0.98,Central rotating component that holds the die cavities; essential for shaping tablets and universally present in all rotary tablet presses.,Titanium nitride,0.7,Commonly used as coating to improve wear resistance and reduce friction on die surfaces; alternatives exist but widely applied.,285000,Germany,metric tons,0.0,5.0,0.65,"Germany produces titanium nitride mainly for industrial and chemical applications. Production data is inferred from chemical manufacturing statistics and European market reports, with moderate confidence due to lack of direct figures."
1,v1v1v1,Tablet Press (Rotary Tablet Press),Upper and Lower Punches,0.98,"Core tooling components that compress powder into tablets within die cavities; always separate, replaceable parts critical to function.",Tool steel,0.95,Key material for punches due to hardness and wear resistance required for compressing tablets; standard in industry.,722840,China,metric tons,0.0,40.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Upper and Lower Punches,0.98,"Core tooling components that compress powder into tablets within die cavities; always separate, replaceable parts critical to function.",Tool steel,0.95,Key material for punches due to hardness and wear resistance required for compressing tablets; standard in industry.,722840,Germany,metric tons,0.0,15.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Upper and Lower Punches,0.98,"Core tooling components that compress powder into tablets within die cavities; always separate, replaceable parts critical to function.",Tool steel,0.95,Key material for punches due to hardness and wear resistance required for compressing tablets; standard in industry.,722840,Japan,metric tons,0.0,12.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Upper and Lower Punches,0.98,"Core tooling components that compress powder into tablets within die cavities; always separate, replaceable parts critical to function.",Tool steel,0.95,Key material for punches due to hardness and wear resistance required for compressing tablets; standard in industry.,722840,United States,metric tons,0.0,10.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Upper and Lower Punches,0.98,"Core tooling components that compress powder into tablets within die cavities; always separate, replaceable parts critical to function.",Tool steel,0.95,Key material for punches due to hardness and wear resistance required for compressing tablets; standard in industry.,722840,South Korea,metric tons,0.0,8.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Tool steel
1,v1v1v1,Tablet Press (Rotary Tablet Press),Upper and Lower Punches,0.98,"Core tooling components that compress powder into tablets within die cavities; always separate, replaceable parts critical to function.",Titanium nitride,0.75,Coating material for punches to enhance surface hardness and reduce wear; alternatives exist but commonly used.,285000,China,metric tons,0.0,50.0,0.85,"China is the largest global producer of titanium-based compounds including titanium nitride, based on recent industry reports and production capacities reported by metallurgy associations (2022-2023). Confidence is very good but exact titanium nitride specific data is less transparent."
1,v1v1v1,Tablet Press (Rotary Tablet Press),Upper and Lower Punches,0.98,"Core tooling components that compress powder into tablets within die cavities; always separate, replaceable parts critical to function.",Titanium nitride,0.75,Coating material for punches to enhance surface hardness and reduce wear; alternatives exist but commonly used.,285000,Russia,metric tons,0.0,20.0,0.75,"Russia is a known producer of titanium compounds with several mining and processing facilities; estimate based on metallurgical output from titanium ores and secondary sources in 2022-2023 trade reports, but specific titanium nitride production figures are not fully disclosed."
1,v1v1v1,Tablet Press (Rotary Tablet Press),Upper and Lower Punches,0.98,"Core tooling components that compress powder into tablets within die cavities; always separate, replaceable parts critical to function.",Titanium nitride,0.75,Coating material for punches to enhance surface hardness and reduce wear; alternatives exist but commonly used.,285000,Japan,metric tons,0.0,15.0,0.8,"Japan has established titanium processing industries producing titanium nitrides for industrial applications. Data from industrial chemical production reports 2023 indicates stable production, though numbers are proprietary."
