agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,d3v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.99,"Strong consensus from all agents with highest average confidence (0.99), essential primary component for freeze dryer.",Stainless steel (SS 304/316),0.95,"Primary structural material for vacuum chambers due to corrosion resistance and strength, industry standard with very few substitutes in vacuum applications.",722000,Nigeria,metric tons,0.0,18.0,0.92,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d3v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.99,"Strong consensus from all agents with highest average confidence (0.99), essential primary component for freeze dryer.",Stainless steel (SS 304/316),0.95,"Primary structural material for vacuum chambers due to corrosion resistance and strength, industry standard with very few substitutes in vacuum applications.",722000,Russia,metric tons,0.0,15.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d3v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.99,"Strong consensus from all agents with highest average confidence (0.99), essential primary component for freeze dryer.",Stainless steel (SS 304/316),0.95,"Primary structural material for vacuum chambers due to corrosion resistance and strength, industry standard with very few substitutes in vacuum applications.",722000,India,metric tons,0.0,10.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d3v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.99,"Strong consensus from all agents with highest average confidence (0.99), essential primary component for freeze dryer.",Stainless steel (SS 304/316),0.95,"Primary structural material for vacuum chambers due to corrosion resistance and strength, industry standard with very few substitutes in vacuum applications.",722000,Australia,metric tons,0.0,13.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d3v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.99,"Strong consensus from all agents with highest average confidence (0.99), essential primary component for freeze dryer.",Stainless steel (SS 304/316),0.95,"Primary structural material for vacuum chambers due to corrosion resistance and strength, industry standard with very few substitutes in vacuum applications.",722000,Indonesia,metric tons,0.0,10.0,0.87,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d3v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.99,"Strong consensus from all agents with highest average confidence (0.99), essential primary component for freeze dryer.",Aluminum,0.85,"Common alternative structural metal for vacuum chambers offering lighter weight, widely used with good thermal conductivity but less corrosion resistant than stainless steel.",280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d3v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.99,"Strong consensus from all agents with highest average confidence (0.99), essential primary component for freeze dryer.",Aluminum,0.85,"Common alternative structural metal for vacuum chambers offering lighter weight, widely used with good thermal conductivity but less corrosion resistant than stainless steel.",280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d3v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.99,"Strong consensus from all agents with highest average confidence (0.99), essential primary component for freeze dryer.",Aluminum,0.85,"Common alternative structural metal for vacuum chambers offering lighter weight, widely used with good thermal conductivity but less corrosion resistant than stainless steel.",280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d3v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.99,"Strong consensus from all agents with highest average confidence (0.99), essential primary component for freeze dryer.",Aluminum,0.85,"Common alternative structural metal for vacuum chambers offering lighter weight, widely used with good thermal conductivity but less corrosion resistant than stainless steel.",280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d3v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,0.99,"Strong consensus from all agents with highest average confidence (0.99), essential primary component for freeze dryer.",Aluminum,0.85,"Common alternative structural metal for vacuum chambers offering lighter weight, widely used with good thermal conductivity but less corrosion resistant than stainless steel.",280300,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
