agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Stainless steel (SS 304/316),0.95,"Primary structural material for the vessel providing corrosion resistance and mechanical strength, industry standard grades 304 and 316 widely used.",722000,Nigeria,metric tons,0.0,18.0,0.92,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Stainless steel (SS 304/316),0.95,"Primary structural material for the vessel providing corrosion resistance and mechanical strength, industry standard grades 304 and 316 widely used.",722000,Russia,metric tons,0.0,15.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Stainless steel (SS 304/316),0.95,"Primary structural material for the vessel providing corrosion resistance and mechanical strength, industry standard grades 304 and 316 widely used.",722000,India,metric tons,0.0,10.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Stainless steel (SS 304/316),0.95,"Primary structural material for the vessel providing corrosion resistance and mechanical strength, industry standard grades 304 and 316 widely used.",722000,Australia,metric tons,0.0,13.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Stainless steel (SS 304/316),0.95,"Primary structural material for the vessel providing corrosion resistance and mechanical strength, industry standard grades 304 and 316 widely used.",722000,Indonesia,metric tons,0.0,10.0,0.87,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Silicon,0.65,"Used as an alloying element in stainless steel to enhance corrosion resistance, moderately confident as exact composition varies.",280469,CHINA,THOUSAND METRIC TONS,3600.0,40.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Silicon,0.65,"Used as an alloying element in stainless steel to enhance corrosion resistance, moderately confident as exact composition varies.",280469,RUSSIA,THOUSAND METRIC TONS,570.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Silicon,0.65,"Used as an alloying element in stainless steel to enhance corrosion resistance, moderately confident as exact composition varies.",280469,BRAZIL,THOUSAND METRIC TONS,190.0,2.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Silicon,0.65,"Used as an alloying element in stainless steel to enhance corrosion resistance, moderately confident as exact composition varies.",280469,NORWAY,THOUSAND METRIC TONS,200.0,2.22,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Silicon,0.65,"Used as an alloying element in stainless steel to enhance corrosion resistance, moderately confident as exact composition varies.",280469,OTHER,THOUSAND METRIC TONS,100.0,1.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Chromium,0.9,"Essential alloying element in stainless steel for corrosion resistance, universally present in stainless steel alloys.",280300,SOUTH AFRICA,THOUSAND METRIC TONS,18000.0,43.9,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Chromium,0.9,"Essential alloying element in stainless steel for corrosion resistance, universally present in stainless steel alloys.",280300,TURKEY,THOUSAND METRIC TONS,6000.0,14.63,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Chromium,0.9,"Essential alloying element in stainless steel for corrosion resistance, universally present in stainless steel alloys.",280300,KAZAKHSTAN,THOUSAND METRIC TONS,6000.0,14.63,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Chromium,0.9,"Essential alloying element in stainless steel for corrosion resistance, universally present in stainless steel alloys.",280300,OTHER,THOUSAND METRIC TONS,5200.0,12.68,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Chromium,0.9,"Essential alloying element in stainless steel for corrosion resistance, universally present in stainless steel alloys.",280300,INDIA,THOUSAND METRIC TONS,4200.0,10.24,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Nickel,0.85,"Critical alloying element in stainless steel 304/316 grades improving toughness and corrosion resistance, standard in bioreactor vessels.",750110,INDONESIA,METRIC TONS,1800000.0,50.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Nickel,0.85,"Critical alloying element in stainless steel 304/316 grades improving toughness and corrosion resistance, standard in bioreactor vessels.",750110,PHILIPPINES,METRIC TONS,400000.0,11.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Nickel,0.85,"Critical alloying element in stainless steel 304/316 grades improving toughness and corrosion resistance, standard in bioreactor vessels.",750110,OTHER,METRIC TONS,380000.0,10.56,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Nickel,0.85,"Critical alloying element in stainless steel 304/316 grades improving toughness and corrosion resistance, standard in bioreactor vessels.",750110,NEW CALEDONIA,METRIC TONS,230000.0,6.39,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Shipping Drum,1.0,"The main structural container for the culture medium and cells, always procured as a separate, major component and fundamental to bioreactor design.",Nickel,0.85,"Critical alloying element in stainless steel 304/316 grades improving toughness and corrosion resistance, standard in bioreactor vessels.",750110,RUSSIA,METRIC TONS,200000.0,5.56,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,v1v1v1,Bioreactor,Agitator Assembly,0.98,"Critical for mixing and oxygen transfer, typically a separately manufactured subassembly and universally present in stirred-tank bioreactors.",Stainless steel (SS 304/316),0.9,Commonly used for impeller and shaft due to corrosion resistance and mechanical durability in bioreactor environments.,722000,Nigeria,metric tons,0.0,18.0,0.92,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,v1v1v1,Bioreactor,Agitator Assembly,0.98,"Critical for mixing and oxygen transfer, typically a separately manufactured subassembly and universally present in stirred-tank bioreactors.",Stainless steel (SS 304/316),0.9,Commonly used for impeller and shaft due to corrosion resistance and mechanical durability in bioreactor environments.,722000,Russia,metric tons,0.0,15.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,v1v1v1,Bioreactor,Agitator Assembly,0.98,"Critical for mixing and oxygen transfer, typically a separately manufactured subassembly and universally present in stirred-tank bioreactors.",Stainless steel (SS 304/316),0.9,Commonly used for impeller and shaft due to corrosion resistance and mechanical durability in bioreactor environments.,722000,India,metric tons,0.0,10.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,v1v1v1,Bioreactor,Agitator Assembly,0.98,"Critical for mixing and oxygen transfer, typically a separately manufactured subassembly and universally present in stirred-tank bioreactors.",Stainless steel (SS 304/316),0.9,Commonly used for impeller and shaft due to corrosion resistance and mechanical durability in bioreactor environments.,722000,Australia,metric tons,0.0,13.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,v1v1v1,Bioreactor,Agitator Assembly,0.98,"Critical for mixing and oxygen transfer, typically a separately manufactured subassembly and universally present in stirred-tank bioreactors.",Stainless steel (SS 304/316),0.9,Commonly used for impeller and shaft due to corrosion resistance and mechanical durability in bioreactor environments.,722000,Indonesia,metric tons,0.0,10.0,0.87,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,v1v1v1,Bioreactor,Agitator Assembly,0.98,"Critical for mixing and oxygen transfer, typically a separately manufactured subassembly and universally present in stirred-tank bioreactors.",Titanium,0.6,"Sometimes used for shafts or impeller components for chemical resistance, less common but possible alternative.",810810,China,metric tons of titanium mineral concentrates,0.0,50.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Titanium
1,v1v1v1,Bioreactor,Agitator Assembly,0.98,"Critical for mixing and oxygen transfer, typically a separately manufactured subassembly and universally present in stirred-tank bioreactors.",Titanium,0.6,"Sometimes used for shafts or impeller components for chemical resistance, less common but possible alternative.",810810,Australia,metric tons of titanium mineral concentrates,0.0,20.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Titanium
