technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning,dependency_type,extraction_provenance
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Stainless steel,0.95,Proposed by Agent1 as key material for Rotary Turret,722000.0,China,metric tons,0.0,29.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Stainless steel,0.95,Proposed by Agent1 as key material for Rotary Turret,722000.0,India,metric tons,0.0,7.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Stainless steel,0.95,Proposed by Agent1 as key material for Rotary Turret,722000.0,Japan,metric tons,0.0,3.7,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Stainless steel,0.95,Proposed by Agent1 as key material for Rotary Turret,722000.0,Russia,metric tons,0.0,3.9,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Stainless steel,0.95,Proposed by Agent1 as key material for Rotary Turret,722000.0,South Korea,metric tons,0.0,2.5,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Aluminum,0.783,Proposed by Agent2 as key material for Rotary Turret,280300.0,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Aluminum,0.783,Proposed by Agent2 as key material for Rotary Turret,280300.0,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Aluminum,0.783,Proposed by Agent2 as key material for Rotary Turret,280300.0,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Aluminum,0.783,Proposed by Agent2 as key material for Rotary Turret,280300.0,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Aluminum,0.783,Proposed by Agent2 as key material for Rotary Turret,280300.0,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Boron carbide,0.65,Proposed by Agent3 as key material for Rotary Turret,284920.0,China,metric tons,0.0,45.0,0.6,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Boron carbide,0.65,Proposed by Agent3 as key material for Rotary Turret,284920.0,United States,metric tons,0.0,30.0,0.55,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Boron carbide,0.65,Proposed by Agent3 as key material for Rotary Turret,284920.0,Russia,metric tons,0.0,10.0,0.5,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Rotary Turret,0.98,The central component that holds multiple dies and punches; essential for shaping tablets and critical to rotary press operation.,Boron carbide,0.65,Proposed by Agent3 as key material for Rotary Turret,284920.0,Turkey,metric tons,0.0,10.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Stainless steel,0.98,Proposed by Agent1 as key material for Dies And Punches,722000.0,China,metric tons,0.0,29.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Stainless steel,0.98,Proposed by Agent1 as key material for Dies And Punches,722000.0,India,metric tons,0.0,7.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Stainless steel,0.98,Proposed by Agent1 as key material for Dies And Punches,722000.0,Japan,metric tons,0.0,3.7,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Stainless steel,0.98,Proposed by Agent1 as key material for Dies And Punches,722000.0,Russia,metric tons,0.0,3.9,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Stainless steel,0.98,Proposed by Agent1 as key material for Dies And Punches,722000.0,South Korea,metric tons,0.0,2.5,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Boron carbide,0.8,Proposed by Agent2 as key material for Dies And Punches,284920.0,China,metric tons,0.0,45.0,0.6,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Boron carbide,0.8,Proposed by Agent2 as key material for Dies And Punches,284920.0,United States,metric tons,0.0,30.0,0.55,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Boron carbide,0.8,Proposed by Agent2 as key material for Dies And Punches,284920.0,Russia,metric tons,0.0,10.0,0.5,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Boron carbide,0.8,Proposed by Agent2 as key material for Dies And Punches,284920.0,Turkey,metric tons,0.0,10.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Aluminum oxide,0.675,Proposed by Agent2 as key material for Dies And Punches,281820.0,China,metric tons,73500000.0,54.67,0.92,LLM fallback cache (previously computed) - no USGS data available for Aluminum oxide,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Aluminum oxide,0.675,Proposed by Agent2 as key material for Dies And Punches,281820.0,Australia,metric tons,19733333.333333332,14.67,0.9,LLM fallback cache (previously computed) - no USGS data available for Aluminum oxide,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Aluminum oxide,0.675,Proposed by Agent2 as key material for Dies And Punches,281820.0,India,metric tons,6966666.666666667,5.17,0.843,LLM fallback cache (previously computed) - no USGS data available for Aluminum oxide,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Aluminum oxide,0.675,Proposed by Agent2 as key material for Dies And Punches,281820.0,Brazil,metric tons,9300000.0,6.93,0.837,LLM fallback cache (previously computed) - no USGS data available for Aluminum oxide,constituent,
Rotary Tablet Press,Dies and Punches,0.98,These are the core tooling components that shape and compress the tablet powder; essential in any rotary tablet press and procured as separate tooling sets.,Aluminum oxide,0.675,Proposed by Agent2 as key material for Dies And Punches,281820.0,United States,metric tons,3500000.0,2.6,0.88,LLM fallback cache (previously computed) - no USGS data available for Aluminum oxide,constituent,
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Stainless steel,0.948,Proposed by Agent1 as key material for Turret Assembly,722000.0,China,metric tons,0.0,29.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Stainless steel,0.948,Proposed by Agent1 as key material for Turret Assembly,722000.0,India,metric tons,0.0,7.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
