domain,tech,role
Consumer Electronics,Smartphone,an expert in consumer electronics manufacturing
Consumer Electronics,Laptop PC,an expert in consumer electronics manufacturing
Consumer Electronics,Large-Format OLED Television,an expert in display and consumer electronics manufacturing
Consumer Electronics,Smart Speaker / Voice Assistant Device,an expert in consumer electronics manufacturing
Consumer Electronics,Hearing Aid,an expert in medical and consumer electronics manufacturing
Data Center and Networking,Data Center Server,an expert in enterprise computing and data center hardware
Data Center and Networking,Network Switch/Router,an expert in network infrastructure manufacturing
Data Center and Networking,5G Base Station (Macro Cell),an expert in telecommunications infrastructure
Data Center and Networking,Enterprise Storage Array (SAN),an expert in enterprise storage systems manufacturing
Data Center and Networking,WiFi 7 Access Point,an expert in wireless networking hardware
Automotive,Autonomous Vehicle Compute Platform,an expert in automotive electronics and ADAS systems
Automotive,Automotive ECU (Engine Control Unit),an expert in automotive electronics manufacturing
Automotive,EV Traction Inverter,an expert in power electronics and electric vehicle drivetrain manufacturing
Automotive,EV On-Board Charger,an expert in power electronics and EV charging systems
Automotive,Automotive Tire Pressure Monitoring System (TPMS),an expert in automotive sensor systems
Industrial,Industrial PLC Module,an expert in industrial automation and control systems
Industrial,Industrial Motor Drive (Variable Frequency),an expert in industrial power electronics
Industrial,Solar String Inverter,an expert in renewable energy power conversion systems
Industrial,Near-Infrared Spectroscopy Instrument,an expert in analytical instrumentation manufacturing
Industrial,Industrial Welding Robot Controller,an expert in industrial robotics and automation
Edge and Embedded Computing,Edge AI Inference Box,an expert in embedded computing and AI hardware
Edge and Embedded Computing,Surveillance DVR/NVR,an expert in video surveillance and embedded systems
Edge and Embedded Computing,Point-of-Sale Terminal,an expert in commercial electronics and payment systems
Edge and Embedded Computing,Digital Signage Player,an expert in embedded media systems
Edge and Embedded Computing,Industrial IoT Gateway,an expert in industrial IoT and edge computing
Military and Defense,AESA Radar Module (Military),an expert in military radar and electronic warfare systems
Military and Defense,Thermal Imaging Sight,an expert in infrared imaging and defense optics
Military and Defense,Inertial Navigation System,an expert in navigation and guidance systems
Military and Defense,Military Avionics Module,an expert in military avionics and mission computing
Military and Defense,Electronic Warfare Jammer Pod,an expert in electronic warfare and RF systems
Space,Space-Hardened Satellite Computer,an expert in space electronics and radiation-hardened systems
Space,Satellite Communication Terminal,an expert in satellite communications and RF systems
Space,Star Tracker (Satellite Attitude Sensor),an expert in space optical sensors and attitude determination
Space,Space-Grade Solar Array Power Regulator,an expert in space power systems and radiation-hardened electronics
Space,CubeSat On-Board Computer,an expert in small satellite systems and embedded space computing
Telecommunications,Fiber-Optic Communication Terminal,an expert in optical networking equipment
Telecommunications,GPS Timing Receiver,an expert in precision timing and GNSS systems
Telecommunications,Small Cell (5G Picocell),an expert in small cell and wireless infrastructure
Telecommunications,Microwave Backhaul Radio,an expert in microwave communications and point-to-point links
Telecommunications,Submarine Cable Repeater,an expert in undersea telecommunications and optical amplification
Medical,Medical Ultrasound System,an expert in medical imaging and diagnostic equipment
Medical,MRI Machine,an expert in medical imaging and superconducting magnet systems
Medical,CT Scanner,an expert in medical imaging and X-ray detection systems
Medical,Pulse Oximeter,an expert in medical sensor devices and wearable diagnostics
Medical,Implantable Cardiac Defibrillator (ICD),an expert in implantable medical devices and bioelectronics
Lighting and Photonics,LED Luminaire,an expert in solid-state lighting manufacturing
Lighting and Photonics,Automotive LED Headlamp Module,an expert in automotive lighting systems
Lighting and Photonics,UV-C Disinfection System,an expert in ultraviolet photonics and germicidal systems
Lighting and Photonics,Laser Projector,an expert in laser display and projection systems
Lighting and Photonics,Fiber-Optic Illumination System,an expert in fiber-optic lighting and photonic systems
Sensing and Security,LiDAR Sensor System,an expert in LiDAR and autonomous sensing systems
Sensing and Security,Face Recognition Access Control System,an expert in biometric security systems
Sensing and Security,Contactless Payment Card,an expert in secure element and smart card manufacturing
Sensing and Security,Automotive Night Vision System,an expert in automotive infrared imaging systems
Sensing and Security,Smart Doorbell Camera,an expert in consumer IoT and embedded vision systems
Robotics and Motion,Collaborative Robot (Cobot) Arm,an expert in robotics and servo control systems
Robotics and Motion,Drone Flight Controller,an expert in UAV avionics and embedded flight systems
Robotics and Motion,Servo Motor Drive,an expert in precision motion control and power electronics
Robotics and Motion,CNC Machine Tool Controller,an expert in CNC systems and industrial motion control
Robotics and Motion,Automated Guided Vehicle (AGV) Controller,an expert in autonomous mobile robot systems
