technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Glass,0.95,"Provides substrate and structural support with optical clarity, universally essential in OLED displays.",700800,China,metric tons,0.0,63.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Glass,0.95,"Provides substrate and structural support with optical clarity, universally essential in OLED displays.",700800,United States,metric tons,0.0,12.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Glass,0.95,"Provides substrate and structural support with optical clarity, universally essential in OLED displays.",700800,Germany,metric tons,0.0,7.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Glass,0.95,"Provides substrate and structural support with optical clarity, universally essential in OLED displays.",700800,India,metric tons,0.0,6.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Glass,0.95,"Provides substrate and structural support with optical clarity, universally essential in OLED displays.",700800,Japan,metric tons,0.0,5.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Indium,0.9,"Used in indium tin oxide (ITO) as transparent conductive layer, standard industry material with few alternatives.",811299,CHINA,METRIC TONS,650.0,65.66,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Indium,0.9,"Used in indium tin oxide (ITO) as transparent conductive layer, standard industry material with few alternatives.",811299,"KOREA, REPUBLIC OF",METRIC TONS,200.0,20.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Indium,0.9,"Used in indium tin oxide (ITO) as transparent conductive layer, standard industry material with few alternatives.",811299,JAPAN,METRIC TONS,64.0,6.46,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Indium,0.9,"Used in indium tin oxide (ITO) as transparent conductive layer, standard industry material with few alternatives.",811299,CANADA,METRIC TONS,37.0,3.74,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Indium,0.9,"Used in indium tin oxide (ITO) as transparent conductive layer, standard industry material with few alternatives.",811299,BELGIUM,METRIC TONS,18.0,1.82,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Silver,0.6,"Conductive electrode material, common but can sometimes be substituted by aluminum.",710610,MEXICO,METRIC TONS,6400.0,24.62,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Silver,0.6,"Conductive electrode material, common but can sometimes be substituted by aluminum.",710610,CHINA,METRIC TONS,3400.0,13.08,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Silver,0.6,"Conductive electrode material, common but can sometimes be substituted by aluminum.",710610,PERU,METRIC TONS,3100.0,11.92,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Silver,0.6,"Conductive electrode material, common but can sometimes be substituted by aluminum.",710610,OTHER,METRIC TONS,3000.0,11.54,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.96,Strong consensus from all agents with high confidence; critical for smartphone visual interface.,Silver,0.6,"Conductive electrode material, common but can sometimes be substituted by aluminum.",710610,CHILE,METRIC TONS,1400.0,5.38,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Lithium,0.95,"Primary active element in cathode and electrolyte, absolutely essential with no viable substitutes.",280520,AUSTRALIA,METRIC TONS,86000.0,47.78,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Lithium,0.95,"Primary active element in cathode and electrolyte, absolutely essential with no viable substitutes.",280520,CHILE,METRIC TONS,44000.0,24.44,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Lithium,0.95,"Primary active element in cathode and electrolyte, absolutely essential with no viable substitutes.",280520,CHINA,METRIC TONS,33000.0,18.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Lithium,0.95,"Primary active element in cathode and electrolyte, absolutely essential with no viable substitutes.",280520,ARGENTINA,METRIC TONS,9600.0,5.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Lithium,0.95,"Primary active element in cathode and electrolyte, absolutely essential with no viable substitutes.",280520,BRAZIL,METRIC TONS,4900.0,2.72,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Cobalt,0.85,Key cathode component for energy density and stability; common in NMC chemistries though alternatives exist.,810510,CONGO,METRIC TONS,170000.0,73.91,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Cobalt,0.85,Key cathode component for energy density and stability; common in NMC chemistries though alternatives exist.,810510,INDONESIA,METRIC TONS,17000.0,7.39,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Cobalt,0.85,Key cathode component for energy density and stability; common in NMC chemistries though alternatives exist.,810510,RUSSIA,METRIC TONS,8800.0,3.83,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Cobalt,0.85,Key cathode component for energy density and stability; common in NMC chemistries though alternatives exist.,810510,OTHER,METRIC TONS,6600.0,2.87,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Cobalt,0.85,Key cathode component for energy density and stability; common in NMC chemistries though alternatives exist.,810510,AUSTRALIA,METRIC TONS,4600.0,2.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Nickel,0.8,"Cathode material for energy density, standard though variable in ratios.",750110,INDONESIA,METRIC TONS,1800000.0,50.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Nickel,0.8,"Cathode material for energy density, standard though variable in ratios.",750110,PHILIPPINES,METRIC TONS,400000.0,11.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Nickel,0.8,"Cathode material for energy density, standard though variable in ratios.",750110,OTHER,METRIC TONS,380000.0,10.56,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Nickel,0.8,"Cathode material for energy density, standard though variable in ratios.",750110,NEW CALEDONIA,METRIC TONS,230000.0,6.39,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Nickel,0.8,"Cathode material for energy density, standard though variable in ratios.",750110,RUSSIA,METRIC TONS,200000.0,5.56,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery Pack,0.95,Unanimous support and high confidence; essential for device power.,Copper,0.9,"Used as anode current collector and internal wiring, essential for electrical conduction.",740100,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
